iter	RMSE
0	12293.41284
1	11683.1487
2	11105.45423
3	10557.48374
4	10035.89776
5	9541.147277
6	9071.385489
7	8723.046365
8	8296.324277
9	7890.870419
10	7588.122261
11	7218.77935
12	6868.309024
13	6535.360721
14	6219.186245
15	5919.405032
16	5636.118637
17	5366.985069
18	5113.383506
19	4872.473782
20	4643.302852
21	4425.744399
22	4221.588263
23	4028.29946
24	3844.493003
25	3671.633243
26	3508.18167
27	3353.751643
28	3207.706032
29	3070.470172
30	2941.140102
31	2818.033622
32	2702.022867
33	2589.63174
34	2487.224597
35	2391.758464
36	2302.004507
37	2218.001031
38	2139.270233
39	2062.582066
40	1989.336943
41	1924.911579
42	1858.598799
43	1798.663775
44	1741.014751
45	1687.373166
46	1637.077137
47	1592.165655
48	1548.684453
49	1508.875846
50	1469.683395
51	1435.47549
52	1403.723363
53	1374.598537
54	1347.563912
55	1320.935857
56	1297.691424
57	1276.624874
58	1257.360818
59	1226.224211
60	1209.603039
61	1182.283007
62	1167.897177
63	1139.374137
64	1127.602351
65	1116.485781
66	1106.39407
67	1096.533676
68	1075.996941
69	1067.835045
70	1047.418847
71	1040.90343
72	1034.715524
73	1014.622269
74	1008.760792
75	1004.170189
76	987.0443259
77	982.8742204
78	968.7435791
79	963.4707681
80	948.8155811
81	944.2573741
82	929.7645437
83	924.6942463
84	910.9717499
85	907.1587674
86	904.8660164
87	901.8666545
88	890.2979273
89	876.7769661
90	866.6869318
91	863.5054799
92	855.241049
93	848.5540038
94	838.8382851
95	829.1708441
96	819.4877624
97	812.709615
98	806.8322489
99	795.1675601
100	782.5341448
101	781.0926856
102	775.6821612
103	767.4015204
104	765.6906555
105	763.8848569
106	759.6687681
107	754.6672485
108	748.2440221
109	747.1501913
110	740.6752176
111	732.9476686
112	726.559468
113	722.4317617
114	717.3574322
115	711.4601257
116	709.8518544
117	706.2981485
118	699.675999
119	698.9292745
120	698.6429489
121	695.1701172
122	689.9606486
123	682.5534202
124	677.7689377
125	675.7068021
126	671.2757863
127	670.9266421
128	667.120458
129	662.6026013
130	658.4065602
131	653.7505451
132	651.4116566
133	645.9656094
134	645.1667722
135	643.7628372
136	638.8818943
137	634.8890837
138	631.8665494
139	631.5917549
140	628.0954755
141	624.8209907
142	621.7114708
143	621.5347845
144	617.2727586
145	616.6500773
146	613.3373964
147	608.9476573
148	605.0019537
149	602.3171778
