iter	Passed	Remaining
0	6	971
1	11	849
2	15	758
3	16	593
4	20	602
5	24	596
6	29	592
7	32	585
8	37	579
9	41	578
10	45	574
11	49	570
12	53	568
13	58	568
14	62	561
15	66	557
16	70	551
17	74	549
18	79	545
19	83	539
20	86	533
21	91	530
22	95	524
23	99	521
24	103	518
25	107	513
26	112	510
27	116	506
28	120	500
29	123	495
30	127	489
31	131	483
32	135	479
33	139	474
34	142	469
35	146	465
36	150	459
37	154	456
38	158	451
39	162	446
40	166	442
41	170	437
42	174	433
43	176	425
44	180	420
45	183	415
46	188	413
47	192	409
48	196	405
49	200	401
50	204	396
51	208	392
52	212	388
53	215	383
54	219	379
55	223	374
56	227	370
57	231	367
58	236	364
59	240	360
60	243	355
61	248	352
62	251	347
63	255	343
64	260	340
65	264	336
66	278	345
67	283	341
68	288	338
69	303	346
70	314	349
71	319	346
72	325	343
73	331	339
74	337	337
75	342	333
76	347	329
77	352	325
78	357	321
79	363	317
80	367	313
81	373	309
82	378	305
83	383	301
84	388	297
85	393	292
86	398	288
87	403	284
88	408	279
89	413	275
90	418	271
91	423	266
92	427	262
93	432	257
94	437	253
95	442	248
96	447	244
97	452	239
98	457	235
99	462	231
100	467	226
101	472	222
102	477	217
103	481	213
104	486	208
105	491	204
106	496	199
107	502	195
108	506	190
109	511	186
110	516	181
111	520	176
112	524	171
113	529	167
114	534	162
115	538	157
116	543	153
117	548	148
118	553	144
119	558	139
120	563	134
121	567	130
122	571	125
123	576	120
124	581	116
125	585	111
126	590	106
127	594	102
128	598	97
129	604	92
130	609	88
131	614	83
132	619	79
133	624	74
134	628	69
135	633	65
136	638	60
137	644	56
138	649	51
139	654	46
140	659	42
141	663	37
142	668	32
143	673	28
144	678	23
145	683	18
146	687	14
147	693	9
148	698	4
149	703	0
