,source,id,price,area,rooms,floor,storeys,building_type,condition,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,latitude,longitude
0,bars,4-3-1430,130000,60.5,2.0,3.0,13.0,Other,Needs Renovation/Repair,1.0,1,0,0,0,0,0,0,0,44.50384769146143,40.19855807840442
1,bars,4-3-1430.1,215000,96.1,3.0,4.0,13.0,Other,Needs Renovation/Repair,2.0,1,0,0,0,0,0,0,0,44.50384769146143,40.19855807840442
2,bars,1-N-432,560000,156.4,4.0,9.0,17.0,Other,Good Condition,2.0,0,1,1,0,1,1,0,1,44.583870697678144,40.21673211791397
3,bars,1-N-429,410000,75.0,3.0,3.0,12.0,Other,Good Condition,2.0,0,0,1,1,1,1,0,1,44.50449735,40.1832187
4,bars,1-A-118,420000,138.0,4.0,3.0,5.0,Other,Good Condition,2.0,0,0,0,0,1,1,0,1,44.51228432718437,40.19590302536037
5,bars,1-3-2096,339000,100.0,3.0,2.0,6.0,Other,Good Condition,1.0,0,1,0,1,0,1,0,1,44.519048808509375,40.177015330930764
6,bars,1-A-123,500000,107.0,3.0,5.0,7.0,Other,Good Condition,2.0,0,1,1,1,1,1,0,1,44.51228432718437,40.19590302536037
7,bars,1-N-403,520000,121.0,3.0,6.0,21.0,Other,Good Condition,1.0,0,1,0,1,0,1,0,1,44.583870697678144,40.21673211791397
8,bars,1-3-1721,225000,101.0,3.0,6.0,5.0,Other,Good Condition,1.0,0,1,0,1,1,1,0,0,44.51808492499669,40.187096641397815
9,bars,1-N-433,985000,206.0,4.0,20.0,23.0,Other,Good Condition,3.0,0,0,0,1,1,1,0,1,44.519048808509375,40.177015330930764
10,bars,6-NM3-7,170000,100.0,3.0,6.0,10.0,Other,Needs Renovation/Repair,2.0,1,0,0,0,1,0,0,1,44.552282393219535,40.19046429667407
11,bars,4-3-1433,225000,125.0,3.0,6.0,16.0,Other,Good Condition,2.0,0,1,1,1,0,1,0,1,44.52473536231635,40.20625843913501
12,bars,4-3-1434,295000,105.0,3.0,3.0,5.0,Other,Good Condition,2.0,0,1,0,1,0,1,0,0,44.52473536231635,40.20625843913501
13,bars,4-3-1431,160000,95.0,3.0,4.0,5.0,Other,Needs Renovation/Repair,1.0,0,0,0,0,1,0,0,0,44.52473536231635,40.20625843913501
