,source,id,price,area,rooms,floor,storeys,building_type,latitude,longitude,new_building,condition,bathroom_count,F_Security,F_Elevator,F_Heating System,F_Internet,F_Balcony,F_Furniture,F_Air Conditioner
0,bnakaran,d108949,117000.0,84,3,4,5,Stone,44.469027287032,40.208844098202,0,Good Condition,1,0,0,0,0,0,0,1
1,bnakaran,d117911,75000.0,67,2,10,10,Other,44.512879,40.17787,0,Good Condition,0,0,0,0,0,0,0,1
2,bnakaran,d113164,725.0,50,2,2,5,Stone,44.510601043701,40.178552,0,Good Condition,1,0,0,0,0,0,0,0
3,bnakaran,d117915,297000.0,122,3,8,15,Monolit,44.512879,40.17787,1,New/Excellent Condition,2,1,0,0,0,0,0,1
4,bnakaran,d91689,300000.0,130,3,7,12,Monolit,44.509669118925,40.206320888981,1,Good Condition,2,0,0,0,0,0,0,0
5,bnakaran,d117434,1300000.0,160,4,6,10,Monolit,44.512879,40.17787,1,New/Excellent Condition,2,1,0,0,0,0,0,1
6,bnakaran,d117915,297000.0,122,3,8,15,Monolit,44.512879,40.17787,1,New/Excellent Condition,2,1,0,0,0,0,0,1
7,bnakaran,d116788,205000.0,71,3,2,5,Stone,44.502351235442,40.179513738459,0,Good Condition,1,0,0,0,0,0,0,1
8,bnakaran,d117390,143000.0,77,3,2,9,Panel,44.487247283293,40.221408669649,0,New/Excellent Condition,1,0,0,0,0,0,0,1
9,bnakaran,d97606,235000.0,43,1,5,15,Monolit,44.511365082973,40.179825070883,1,Good Condition,1,1,0,0,0,0,0,1
10,bnakaran,d114919,1200000.0,158,3,8,14,Monolit,44.514613,40.182121,0,Good Condition,3,0,0,0,0,0,0,1
11,bnakaran,d117913,130000.0,85,3,5,5,Stone,44.482444305557,40.152102284194,0,Good Condition,1,0,0,0,0,0,0,1
12,bnakaran,d117390,143000.0,77,3,2,9,Panel,44.487247283293,40.221408669649,0,New/Excellent Condition,1,0,0,0,0,0,0,1
13,bnakaran,d103247,340000.0,150,4,3,18,Monolit,44.516460324081,40.203668475571,1,Good Condition,2,1,0,0,0,0,0,1
14,bnakaran,d114919,1200000.0,158,3,8,14,Monolit,44.514613,40.182121,0,Good Condition,3,0,0,0,0,0,0,1
15,bnakaran,d117898,95000.0,45,2,9,9,Panel,44.52404023677,40.201478401927,0,New/Excellent Condition,1,0,0,1,0,0,0,1
16,bnakaran,d116568,290000.0,91,3,3,5,Stone,44.503936191663,40.177470391035,0,Good Condition,0,0,0,0,0,0,0,0
17,bnakaran,d116762,230000.0,39,2,3,22,Monolit,44.509842,40.18046,1,Good Condition,1,0,0,0,0,0,0,1
18,bnakaran,d116950,110000.0,98,3,4,4,Stone,44.512879,40.17787,0,Good Condition,1,0,0,0,0,0,0,1
19,bnakaran,d97802,145000.0,72,3,5,10,Panel,44.515729903375,40.168955491541,0,Good Condition,1,0,0,0,0,0,0,0
20,bnakaran,d115472,105000.0,42,2,2,10,Other,44.503449695768,40.196814778967,0,Good Condition,1,0,0,0,0,0,0,1
21,bnakaran,d115059,620000.0,190,4,5,9,Monolit,44.496872966931,40.201861771652,1,Good Condition,3,0,0,0,0,0,0,1
22,bnakaran,d116789,85000.0,34,2,12,14,Panel,44.50984318518,40.206442360475,0,New/Excellent Condition,1,0,0,0,0,0,0,0
23,bnakaran,d115274,290000.0,126,4,8,8,Monolit,44.512879,40.17787,1,New/Excellent Condition,2,0,0,0,0,0,0,1
24,bnakaran,d117913,130000.0,85,3,5,5,Stone,44.482444305557,40.152102284194,0,Good Condition,1,0,0,0,0,0,0,1
25,bnakaran,d117899,120000.0,42,2,8,10,Monolit,44.512879,40.17787,0,New/Excellent Condition,1,0,0,0,0,0,0,1
26,bnakaran,d114569,100000.0,45,2,5,9,Panel,44.501473578047,40.197459365825,0,New/Excellent Condition,1,0,0,0,0,0,0,1
27,bnakaran,d98281,230000.0,46,2,8,16,Monolit,44.511429455989,40.179915238707,1,Good Condition,1,1,0,0,0,0,0,1
28,bnakaran,d103247,340000.0,150,4,3,18,Monolit,44.516460324081,40.203668475571,1,Good Condition,2,1,0,0,0,0,0,1
29,bnakaran,d117682,130000.0,40,2,2,5,Monolit,44.515102096538,40.169279922988,1,Good Condition,1,0,0,0,0,0,0,0
30,bnakaran,d76965,1200.0,75,3,5,15,Monolit,44.5085557,40.18036535,1,Good Condition,1,0,0,0,0,0,0,0
31,bnakaran,d115650,260000.0,65,2,14,16,Monolit,44.505586252639,40.184967516543,1,Good Condition,1,0,0,0,0,0,0,1
