source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,latitude,longitude,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other
0,bars,4-3-1430,2148.7603305785124,60.5,2.0,3.0,13.0,1.0,1,0,0,0,0,0,0,0,44.50384769146143,40.19855807840442,0,1,0,0,0,1,0,0
1,bars,4-3-1430.1,2237.2528616024974,96.1,3.0,4.0,13.0,2.0,1,0,0,0,0,0,0,0,44.50384769146143,40.19855807840442,0,1,0,0,0,1,0,0
2,bars,1-N-432,3580.5626598465474,156.4,4.0,9.0,17.0,2.0,0,1,1,0,1,1,0,1,44.583870697678144,40.21673211791397,0,1,0,0,1,0,0,0
3,bars,1-N-429,5466.666666666667,75.0,3.0,3.0,12.0,2.0,0,0,1,1,1,1,0,1,44.50449735,40.1832187,0,1,0,0,1,0,0,0
4,bars,1-A-118,3043.478260869565,138.0,4.0,3.0,5.0,2.0,0,0,0,0,1,1,0,1,44.51228432718437,40.19590302536037,0,1,0,0,1,0,0,0
5,bars,1-3-2096,3390.0,100.0,3.0,2.0,6.0,1.0,0,1,0,1,0,1,0,1,44.519048808509375,40.177015330930764,0,1,0,0,1,0,0,0
6,bars,1-A-123,4672.897196261682,107.0,3.0,5.0,7.0,2.0,0,1,1,1,1,1,0,1,44.51228432718437,40.19590302536037,0,1,0,0,1,0,0,0
7,bars,1-N-403,4297.520661157025,121.0,3.0,6.0,21.0,1.0,0,1,0,1,0,1,0,1,44.583870697678144,40.21673211791397,0,1,0,0,1,0,0,0
8,bars,1-3-1721,2227.7227722772277,101.0,3.0,6.0,5.0,1.0,0,1,0,1,1,1,0,0,44.51808492499669,40.187096641397815,0,1,0,0,1,0,0,0
9,bars,1-N-433,4781.553398058252,206.0,4.0,20.0,23.0,3.0,0,0,0,1,1,1,0,1,44.519048808509375,40.177015330930764,0,1,0,0,1,0,0,0
