source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,latitude,longitude,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other,coordinates,opera,malibu,aua,zvartnoc,dalma,yerevan_mall,shumyan_cemetery,nork_cemetery,central_cemetery,davtashen_cemetery,zeytun_cemetery,yerablur,avan_cemetery,baghramyan_subway,shengavit_subway,barekamutyun_subway,yeritasardakan_subway,zoravar_subway,sasunci_subway,gorcarain_subway,gergin_subway,charbakh_subway,avan,massiv,L_payment_terminal,L_pharmacy,L_atm,L_car_wash,L_waste_disposal,L_parking,L_bank,L_clinic,L_fuel,L_school,L_place_of_worship,L_music_school,L_university,L_kindergarten,L_bus_station,L_hospital,L_prison,L_stripclub
bars,4-3-1433,225000.0,125.0,3.0,6.0,16.0,2.0,0,1,1,1,0,1,0,1,44.52473536231635,40.20625843913501,0,1,0,0,1,0,0,0,"(40.20625843913501, 44.52473536231635)",2396,2945,2308,12140,4314,6018,5888,2396,6283,4464,1948,7974,4038,2813,7578,2727,2266,4039,5934,7579,7177,8608,5107,7179,0,1,5,1,1,8,4,0,2,0,2,1,0,3,0,0,0,0
bnakaran,d115995,140000.00000000006,45.0,2.0,7.0,10.0,1.0,0,0,0,1,0,0,0,0,44.512879,40.17787,0,1,0,0,0,1,0,0,"(40.17787, 44.512879)",923,711,1769,9963,2079,2711,5310,3325,3734,5884,4774,5437,6162,2696,4324,2606,1102,741,2632,4266,4000,5463,7469,4023,7,1,16,0,4,14,11,1,0,1,0,0,0,0,1,0,0,0
bars,2-2-252,110000.0,49.0,2.0,1.0,5.0,1.0,0,1,0,0,1,1,0,0,44.51903894845968,40.17136765837956,0,0,0,1,1,0,0,0,"(40.17136765837956, 44.51903894845968)",1661,1603,2649,10293,2736,2374,6106,3353,2842,6774,5117,5716,6218,3588,4075,3499,1652,583,2120,3787,3880,5331,7549,3277,4,9,7,6,4,3,2,0,3,6,1,0,2,0,0,0,0,0
bnakaran,d117427,176000.0,80.0,3.0,4.0,6.0,1.0,1,0,1,1,0,0,0,0,44.514409152114,40.181298091923,1,0,0,0,1,0,0,0,"(40.181298091923, 44.514409152114)",526,579,1498,10202,2218,3112,5282,3033,3978,5633,4391,5708,5840,2492,4717,2394,717,1136,3031,4668,4378,5839,7137,4391,19,6,23,3,5,9,12,3,0,3,0,1,1,2,0,2,0,0
bnakaran,d115038,540000.0,180.0,4.0,8.0,16.0,2.0,1,0,0,0,0,0,0,0,44.507266370361,40.181576150645,1,0,0,0,1,0,0,0,"(40.181576150645, 44.507266370361)",826,176,1230,9638,1621,2966,4707,3582,4351,5288,4766,5180,6342,2084,4464,1999,1189,1224,2999,4562,4059,5499,7621,4505,10,8,18,3,3,7,10,2,0,3,0,1,1,3,0,3,0,0
myrealty,124592,130000.0,73.0,3.0,1.0,12.0,1.0,0,0,0,0,0,0,0,0,44.51002309500625,40.20586486520793,0,0,1,0,0,0,1,0,"(40.20586486520793, 44.51002309500625)",2250,2541,1566,11047,3494,5669,4649,3443,6596,3397,3158,7042,5286,1680,7081,1614,2340,3856,5705,7269,6602,7973,6328,7144,2,4,4,7,6,5,5,0,5,1,0,0,0,2,0,2,0,0
myrealty,126345,150000.0,79.0,3.0,1.0,5.0,1.0,0,0,0,0,0,0,0,0,44.52473536231635,40.20625843913501,0,0,0,1,1,0,0,0,"(40.20625843913501, 44.52473536231635)",2396,2945,2308,12140,4314,6018,5888,2396,6283,4464,1948,7974,4038,2813,7578,2727,2266,4039,5934,7579,7177,8608,5107,7179,0,1,5,1,1,8,4,0,2,0,2,1,0,3,0,0,0,0
myrealty,141674,183000.0,76.0,2.0,2.0,14.0,1.0,0,0,0,0,0,0,0,0,44.50164222859443,40.19625902492543,1,0,0,0,0,1,0,0,"(40.19625902492543, 44.50164222859443)",1614,1563,488,9886,2212,4544,3862,3853,5964,3648,4190,5779,6169,676,5864,566,1910,2924,4655,6141,5360,6708,7317,6202,4,3,2,4,5,1,1,1,2,0,0,0,0,0,0,0,0,0
bars,1-1-441,150000.00000000003,42.0,1.0,5.0,8.0,1.0,0,0,0,0,1,0,0,1,44.5215976,40.18607885,0,1,0,0,0,1,0,0,"(40.18607885, 44.5215976)",552,1203,1617,10953,2920,3853,5710,2267,4189,5596,3600,6491,5039,2668,5493,2559,146,1836,3708,5370,5176,6638,6331,4921,10,7,25,2,3,3,9,0,0,3,2,0,4,1,0,4,0,0
bnakaran,d116336,45500.0,65.0,2.0,2.0,15.0,1.0,1,0,0,0,0,0,0,0,44.503806,40.153376,1,0,0,0,1,0,0,0,"(40.153376, 44.503806)",3752,3319,4342,8780,3143,360,6406,5706,2996,8085,7491,4320,8554,4951,1792,4901,3898,2107,315,1436,1831,3139,9887,1756,1,0,4,2,2,7,1,1,2,2,0,0,0,0,1,0,0,0
myrealty,140980,249000.0,77.0,3.0,10.0,12.0,1.0,1,0,0,0,0,0,0,0,44.47182097647652,40.19329216792591,1,0,0,0,0,0,1,0,"(40.19329216792591, 44.47182097647652)",3763,3276,2773,7582,2118,4866,1427,6368,7403,3350,6666,4068,8711,1916,5509,2012,4157,4215,5245,6238,4868,5845,9826,6932,17,9,6,1,18,7,1,0,3,1,1,0,0,1,0,0,0,0
bars,4-3-1260,230000.0,94.0,3.0,1.0,9.0,2.0,0,1,0,1,0,1,0,1,44.4625288,40.172490550000006,0,1,0,0,1,0,0,0,"(40.172490550000006, 44.4625288)",4711,4037,4195,5729,2322,3743,2895,7506,6923,5767,8381,1635,10192,3823,3650,3874,5106,4220,4282,4651,3001,3600,11425,5813,0,4,1,0,0,6,0,0,0,1,0,0,0,0,0,3,0,0
bnakaran,d117531,390000.0,156.0,3.0,13.0,16.0,1.0,1,0,0,1,0,0,0,0,44.512879,40.17787,1,0,0,0,1,0,0,0,"(40.17787, 44.512879)",923,711,1769,9963,2079,2711,5310,3325,3734,5884,4774,5437,6162,2696,4324,2606,1102,741,2632,4266,4000,5463,7469,4023,7,1,16,0,4,14,11,1,0,1,0,0,0,0,1,0,0,0
myrealty,141644,155000.0,64.0,2.0,7.0,10.0,1.0,0,0,0,0,0,0,0,0,44.51863665459219,40.17606564344017,0,0,1,0,1,0,0,0,"(40.17606564344017, 44.51863665459219)",1145,1192,2182,10380,2585,2767,5839,3030,3295,6316,4674,5826,5896,3162,4445,3067,1133,769,2578,4245,4191,5654,7219,3799,2,5,9,1,4,7,2,1,0,2,0,1,1,0,1,0,0,0
myrealty,130988,305000.0,84.0,3.0,4.0,4.0,1.0,1,1,1,1,0,1,1,1,44.50523170804844,40.19493042144863,1,0,0,0,0,0,1,0,"(40.19493042144863, 44.50523170804844)",1298,1340,285,10082,2264,4413,4176,3537,5680,3947,3987,5899,5915,1005,5800,894,1577,2701,4487,6014,5321,6700,7086,5995,1,0,1,2,4,3,0,0,0,0,0,0,1,0,0,0,0,0
myrealty,141931,235000.0,76.0,3.0,7.0,14.0,1.0,1,1,0,1,0,1,1,1,44.499155086504345,40.19562050194883,1,0,0,0,0,0,1,0,"(40.19562050194883, 44.499155086504345)",1725,1585,573,9667,2049,4473,3656,4058,6020,3592,4411,5580,6392,490,5750,379,2048,2929,4611,6065,5231,6562,7540,6184,2,7,3,6,5,1,2,2,2,1,0,0,0,2,0,0,0,0
bars,4-3-1355,198000.0,90.0,3.0,3.0,8.0,2.0,0,0,0,0,1,1,0,1,44.55827345658594,40.199176396159615,0,1,0,0,1,0,0,0,"(40.199176396159615, 44.55827345658594)",3949,4631,4631,14382,6336,6913,8667,1205,5625,7395,1797,9928,1673,5481,8617,5377,3565,5000,6589,8209,8416,9874,3006,7229,0,3,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0
myrealty,123214,325000.00000000006,140.0,4.0,7.0,10.0,2.0,0,0,0,0,0,0,0,0,44.519048808509375,40.177015330930764,0,0,1,0,0,0,1,0,"(40.177015330930764, 44.519048808509375)",1054,1155,2115,10441,2609,2874,5827,2939,3367,6249,4565,5893,5802,3108,4549,3011,1025,869,2689,4356,4289,5753,7123,3905,3,7,10,2,5,10,5,1,0,2,0,1,0,0,1,0,0,0
myrealty,126118,159000.0,43.0,2.0,5.0,9.0,1.0,1,1,1,1,0,1,1,1,44.48439985,40.14520375,1,0,0,0,0,0,1,0,"(40.14520375, 44.48439985)",5232,4662,5521,7174,3784,1776,6348,7491,4673,8690,9136,3060,10357,5840,127,5823,5466,3733,2198,1297,585,1260,11687,2879,3,8,6,2,6,3,0,0,0,5,0,0,0,2,0,0,0,0
bnakaran,d84619,180000.0,120.0,3.0,9.0,13.0,2.0,1,0,0,0,0,0,0,0,44.513168548438,40.185348114221,1,0,0,0,0,0,1,0,"(40.185348114221, 44.513168548438)",178,508,1080,10254,2211,3499,5039,2974,4420,5204,4117,5822,5699,2112,5059,2008,578,1573,3456,5075,4682,6130,6972,4848,17,9,21,1,4,6,5,3,0,4,1,0,1,2,0,3,0,0
bnakaran,d115430,40000.0,40.0,2.0,2.0,5.0,1.0,0,0,0,0,0,0,0,0,44.515800476074,40.189498901367,0,0,0,1,1,0,0,0,"(40.189498901367, 44.515800476074)",393,976,1016,10634,2594,4008,5148,2657,4729,4984,3630,6251,5290,2058,5572,1948,503,2055,3949,5578,5190,6636,6542,5296,10,5,14,0,2,1,5,1,0,2,0,0,2,3,0,0,0,0
