,source,id,price,area,rooms,floor,storeys,building_type,condition,bathroom_count,new_building,F_Elevator,F_Furniture,F_Heating System,F_Security,F_Internet,F_Balcony,F_Air Conditioner,latitude,longitude
0,myrealty,142711,87000,60,2,1,5,Stone,Good Condition,1,0,1,1,1,0,1,1,0,44.465297969928955,40.20902734145039
1,myrealty,142709,76500,48,2,4,5,Stone,Good Condition,1,0,0,1,1,0,0,0,0,44.468463099999994,40.199323
2,myrealty,142707,150000,93,3,5,5,Stone,Good Condition,1,0,0,1,1,0,0,0,1,44.51413593557797,40.210664400899944
3,myrealty,142704,420000,80,2,4,10,Monolit,New/Excellent Condition,2,1,1,1,1,1,1,0,1,44.51467793334746,40.18220208362412
4,myrealty,142703,95000,74,3,2,5,Panel,New/Excellent Condition,1,0,0,1,1,0,1,0,1,44.49082633472604,40.19822318396341
5,myrealty,142702,167000,80,3,5,5,Stone,Good Condition,2,0,0,0,1,0,0,0,1,44.51413593557797,40.210664400899944
6,myrealty,142701,218000,94,3,7,7,Monolit,New/Excellent Condition,1,1,1,1,1,1,1,0,1,44.5107305983628,40.174359838228284
7,myrealty,142700,105000,80,3,1,5,Stone,New/Excellent Condition,1,0,0,0,1,1,1,0,0,44.468463099999994,40.199323
8,myrealty,142696,1900000,200,4,5,10,Monolit,New/Excellent Condition,2,1,0,0,0,0,0,0,0,44.51467793334746,40.18220208362412
9,myrealty,142695,209000,93,4,7,15,Monolit,Needs Renovation/Repair,1,1,1,0,0,0,0,0,0,44.5273774,40.17699785
10,myrealty,142693,280000,105,3,6,8,Monolit,New/Excellent Condition,2,1,0,0,0,0,0,0,0,44.51060732169701,40.17531966023561
11,myrealty,142692,125000,85,4,1,6,Stone,Good Condition,2,0,0,1,1,0,1,0,1,44.52473536231635,40.20625843913501
12,myrealty,142691,158000,81,3,4,15,Other,Needs Renovation/Repair,2,0,0,0,0,0,0,0,0,44.4567380668362,40.166016462777485
13,myrealty,142690,180000,110,3,14,18,Monolit,Needs Renovation/Repair,1,1,0,0,0,0,0,0,0,44.4567380668362,40.166016462777485
14,myrealty,142682,93000,39,2,5,5,Other,New/Excellent Condition,1,0,0,0,1,0,0,0,1,44.49844424700246,40.19994302020931
15,myrealty,142680,123500,58,2,5,5,Stone,New/Excellent Condition,1,0,0,0,1,0,0,0,0,44.49844424700246,40.19994302020931
16,myrealty,142670,155000,68,2,1,2,Stone,New/Excellent Condition,1,1,0,1,1,0,1,0,1,44.49857435,40.209585149999995
17,myrealty,142669,160000,139000,3,5,5,Stone,New/Excellent Condition,2,0,0,1,1,1,1,0,0,44.539173935967966,40.16188844717563
18,myrealty,142668,152000,68,3,5,5,Monolit,New/Excellent Condition,1,1,1,1,1,0,1,0,0,44.49633619872418,40.22328636163789
19,myrealty,142667,105000,80,3,1,5,Stone,New/Excellent Condition,1,0,0,0,0,1,1,0,0,44.468463099999994,40.199323
20,myrealty,142666,220000,90,3,5,10,Monolit,New/Excellent Condition,1,1,1,1,1,1,1,0,0,44.50164222859443,40.19625902492543
21,myrealty,142664,225000,110,3,4,4,Monolit,New/Excellent Condition,1,1,1,1,1,1,1,0,1,44.47934247499251,40.150660083827475
22,myrealty,142663,205000,64,3,8,17,Monolit,New/Excellent Condition,1,1,1,1,1,0,1,0,1,44.52473536231635,40.20625843913501
23,myrealty,142658,180000,76,3,8,16,Monolit,New/Excellent Condition,1,0,1,1,1,0,1,0,1,44.4567380668362,40.166016462777485
