name_am,name_en,coordinates
Լենինգրադյան փողոց,Leningradyan poghots,"(40.1906722427931, 44.46234708546167)"
Գրիգոր Հասրաթյանի փողոց,Grigor Hasratyani poghots,"(40.19167216210699, 44.46253132416954)"
Հրազդան,Hrazdan,"(40.15532783191185, 44.45101440879486)"
Հրազդան,Hrazdan,"(40.159092487710595, 44.4779542538313)"
Գետառ,Getarh,"(40.1528887108029, 44.50010169956805)"
Հրազդան,Hrazdan,"(40.159092487710595, 44.4779542538313)"
Հրազդան,Hrazdan,"(40.172052397392655, 44.49904206758659)"
Էրեբունու փողոց,Erebownow poghots,"(40.141435900000005, 44.53250355)"
Էրեբունի հրապարակ,Erebowni hraparak,"(40.141340400000004, 44.532710300000005)"
Էրեբունու փողոց,Erebownow poghots,"(40.1423858, 44.5149904)"
Մուրացանի փողոց,Mowratsani poghots,"(40.1422733, 44.5155362)"
Մուրացանի փողոց,Mowratsani poghots,"(40.14327647195049, 44.51563059315319)"
Արշակունյաց պողոտա,Arshakownyats poghota,"(40.140887872078665, 44.493826561382456)"
Աշխատանքի հրապարակ,Ashkhatanki hraparak,"(40.14185542261926, 44.495196422561364)"
Նուբարաշենի փողոց,Nowbarasheni poghots,"(40.1507024, 44.529737999999995)"
Ժակ Իվ Կուստոյի փողոց,Zhak Iv Kowstoyi poghots,"(40.15118005859896, 44.529327909959314)"
Դավիթ Բեկի փողոց,Davit Beki poghots,"(40.150269249915496, 44.52710396261665)"
Ազատամարտիկների պողոտա,Azatamartikneri poghota,"(40.15021565, 44.5227302)"
Ռոստովյան փողոց,Rhostovyan poghots,"(40.150388569378514, 44.520612108721245)"
Ազատամարտիկների պողոտա,Azatamartikneri poghota,"(40.15231077390978, 44.5229354998818)"
Ռոստովյան փողոց,Rhostovyan poghots,"(40.1505682, 44.5173767)"
Աթոյան փողոց,Atoyan poghots,"(40.15044125, 44.51848555)"
Բելինսկու փողոց,Belinskow poghots,"(40.15254304991559, 44.518677705797465)"
Մուրացանի փողոց,Mowratsani poghots,"(40.1505715, 44.5162598)"
Մուրացանի փողոց,Mowratsani poghots,"(40.15125656322793, 44.51631314505439)"
Ռոստովյան փողոց,Rhostovyan poghots,"(40.15066543923908, 44.515553749513145)"
"['Բրյուսովի փողոց', 'Արշակունյաց պողոտա 1-ին նրբանցք']","['Bryowsovi poghots', 'Arshakownyats poghota 1-in nrbantsk']","(40.167413553240415, 44.50247614128297)"
Արշակունյաց պողոտա,Arshakownyats poghota,"(40.1653985904242, 44.50477683979683)"
Բաբայան փողոց,Babayan poghots,"(40.1991886, 44.5197902)"
Ազատության պողոտա,Azatowtyan poghota,"(40.1995721688172, 44.520265311668524)"
Բաբայան փողոց,Babayan poghots,"(40.19851603285583, 44.52144047464537)"
Պարույր Սևակի փողոց,Parowyr Sewaki poghots,"(40.204839367697545, 44.54016340378585)"
Կարապետ Ուլնեցու փողոց,Karapet Owlnetsow poghots,"(40.205864052054416, 44.53776453281966)"
Կարապետ Ուլնեցու փողոց,Karapet Owlnetsow poghots,"(40.20733985951101, 44.539775761386295)"
Պարույր Սևակի փողոց,Parowyr Sewaki poghots,"(40.20684477663804, 44.53724126702488)"
Ավետիս Ահարոնյանի փողոց,Avetis Aharonyani poghots,"(40.20275034656716, 44.53738841487375)"
Ավետիս Ահարոնյանի փողոց,Avetis Aharonyani poghots,"(40.20737987637816, 44.533021103080934)"
Կարապետ Ուլնեցու փողոց,Karapet Owlnetsow poghots,"(40.20387569562036, 44.53494680055297)"
Կարապետ Ուլնեցու փողոց,Karapet Owlnetsow poghots,"(40.20488489481841, 44.536266053366816)"
Տերյան փողոց,Teryan poghots,"(40.19066524195801, 44.52381655212627)"
Կորյունի փողոց,Koryowni poghots,"(40.18877081913275, 44.52311939810804)"
Տերյան փողոց,Teryan poghots,"(40.188651318689026, 44.521426716994476)"
Տերյան փողոց,Teryan poghots,"(40.18937535017318, 44.522282687172904)"
Չարենցի փողոց,Charentsi poghots,"(40.17699785, 44.5273774)"
Սայաթ-Նովայի պողոտա,Sayat-Novayi poghota,"(40.17761323363455, 44.52652713424005)"
Արգիշտի փողոց,Argishti poghots,"(40.17429211194108, 44.50409202665325)"
Գրիգոր Լուսավորչի փողոց,Grigor Lowsavorchi poghots,"(40.17456604320542, 44.50555329140127)"
Ազատամարտիկների փողոց,Azatamartikneri poghots,"(40.15440085, 44.52310525)"
Սասունցի Դավիթ փողոց,Sasowntsi Davit poghots,"(40.15450200308306, 44.52231780860483)"
Ազատամարտիկների փողոց,Azatamartikneri poghots,"(40.154774247491396, 44.52313977604645)"
Լենինգրադյան փողոց,Leningradyan poghots,"(40.19142153290544, 44.471944203709484)"
Աբելյան փողոց,Abelyan poghots,"(40.19922135739394, 44.47600058697071)"
Ջանիբեկյան փողոց,Janibekyan poghots,"(40.19950225426115, 44.472840012506836)"
Շինարարների փողոց,Shinararneri poghots,"(40.198846692958135, 44.474392138424626)"
